BESTGO probe @ 500000 bps  fclk_can=170000000
Captured 156 frames over ~10s in NORMAL mode

140951.500000 S     0x377 [8] 0100000000000000
140951.500000 S     0x379 [8] 3600000000000000
140951.500000 S     0x351 [8] 4002dc05d007c001
140951.500000 S     0x355 [8] 3600640072150000
140951.500000 S     0x356 [8] 8c140000be000000
140951.500000 S     0x35A [8] 0000000000000000
140951.515000 S     0x35E [8] 4c56616969657900
140951.515000 S     0x35F [8] 0000010136000000
140951.515000 S     0x370 [8] 4c69746869756d00
140951.515000 S     0x371 [8] 56616c6c65790000
140951.515000 S     0x373 [8] d60cd80c24012401
140951.515000 S     0x374 [8] 1000050001000100
140951.531000 S     0x375 [8] 0500000000000000
140951.531000 S     0x376 [8] 0100000000000000
140951.531000 S     0x377 [8] 0100000000000000
140951.531000 S     0x379 [8] 3600000000000000
140952.406000 S     0x351 [8] 4002dc05d007c001
140952.406000 S     0x355 [8] 3600640072150000
140952.406000 S     0x356 [8] 8c140000be000000
140952.406000 S     0x35A [8] 0000000000000000
140952.406000 S     0x35E [8] 4c56616969657900
140952.406000 S     0x35F [8] 0000010136000000
140952.421000 S     0x370 [8] 4c69746869756d00
140952.421000 S     0x371 [8] 56616c6c65790000
140952.421000 S     0x373 [8] d70cd80c24012401
140952.421000 S     0x374 [8] 0100030001000100
140952.437000 S     0x375 [8] 0300000000000000
140952.437000 S     0x376 [8] 0100000000000000
140952.437000 S     0x377 [8] 0100000000000000
140952.437000 S     0x379 [8] 3600000000000000
140953.406000 S     0x351 [8] 4002dc05d007c001
140953.406000 S     0x355 [8] 3600640072150000
140953.406000 S     0x356 [8] 8c140000be000000
140953.406000 S     0x35A [8] 0000000000000000
140953.406000 S     0x35E [8] 4c56616969657900
140953.406000 S     0x35F [8] 0000010136000000
140953.421000 S     0x370 [8] 4c69746869756d00
140953.421000 S     0x371 [8] 56616c6c65790000
140953.421000 S     0x373 [8] d70cd80c24012401
140953.421000 S     0x374 [8] 0100020001000100
140953.421000 S     0x375 [8] 0200000000000000
140953.421000 S     0x376 [8] 0100000000000000
140953.437000 S     0x377 [8] 0100000000000000
140953.437000 S     0x379 [8] 3600000000000000
140954.406000 S     0x351 [8] 4002dc05d007c001
140954.406000 S     0x355 [8] 3600640072150000
140954.406000 S     0x356 [8] 8c140000be000000
140954.406000 S     0x35A [8] 0000000000000000
140954.406000 S     0x35E [8] 4c56616969657900
140954.406000 S     0x35F [8] 0000010136000000
140954.421000 S     0x370 [8] 4c69746869756d00
140954.421000 S     0x371 [8] 56616c6c65790000
140954.421000 S     0x373 [8] d70cd80c24012401
140954.437000 S     0x374 [8] 0100030001000100
140954.437000 S     0x375 [8] 0300000000000000
140954.437000 S     0x376 [8] 0100000000000000
140954.437000 S     0x377 [8] 0100000000000000
140954.437000 S     0x379 [8] 3600000000000000
140955.390000 S     0x351 [8] 4002dc05d007c001
140955.390000 S     0x355 [8] 3600640072150000
140955.406000 S     0x356 [8] 8c140000be000000
140955.406000 S     0x35A [8] 0000000000000000
140955.406000 S     0x35E [8] 4c56616969657900
140955.406000 S     0x35F [8] 0000010136000000
140955.421000 S     0x370 [8] 4c69746869756d00
140955.421000 S     0x371 [8] 56616c6c65790000
140955.421000 S     0x373 [8] d70cd80c24012401
140955.421000 S     0x374 [8] 0100020001000100
140955.421000 S     0x375 [8] 0200000000000000
140955.421000 S     0x376 [8] 0100000000000000
140955.437000 S     0x377 [8] 0100000000000000
140955.437000 S     0x379 [8] 3600000000000000
140956.406000 S     0x351 [8] 4002dc05d007c001
140956.406000 S     0x355 [8] 3600640072150000
140956.406000 S     0x356 [8] 8c140000be000000
140956.421000 S     0x35A [8] 0000000000000000
140956.421000 S     0x35E [8] 4c56616969657900
140956.421000 S     0x35F [8] 0000010136000000
140956.421000 S     0x370 [8] 4c69746869756d00
140956.421000 S     0x371 [8] 56616c6c65790000
140956.421000 S     0x373 [8] d70cd80c24012401
140956.437000 S     0x374 [8] 0100020001000100
140956.437000 S     0x375 [8] 0200000000000000
140956.437000 S     0x376 [8] 0100000000000000
140956.437000 S     0x377 [8] 0100000000000000
140956.437000 S     0x379 [8] 3600000000000000
140957.406000 S     0x351 [8] 4002dc05d007c001
140957.406000 S     0x355 [8] 3600640072150000
140957.406000 S     0x356 [8] 8c140000be000000
140957.421000 S     0x35A [8] 0000000000000000
140957.421000 S     0x35E [8] 4c56616969657900
140957.421000 S     0x35F [8] 0000010136000000
140957.437000 S     0x370 [8] 4c69746869756d00
140957.437000 S     0x371 [8] 56616c6c65790000
140957.437000 S     0x373 [8] d70cd80c24012401
140957.437000 S     0x374 [8] 0100030001000100
140957.437000 S     0x375 [8] 0300000000000000
140957.437000 S     0x376 [8] 0100000000000000
140957.453000 S     0x377 [8] 0100000000000000
140957.453000 S     0x379 [8] 3600000000000000
140958.406000 S     0x351 [8] 4002dc05d007c001
140958.406000 S     0x355 [8] 3600640072150000
140958.406000 S     0x356 [8] 8c140000be000000
140958.421000 S     0x35A [8] 0000000000000000
140958.421000 S     0x35E [8] 4c56616969657900
140958.421000 S     0x35F [8] 0000010136000000
140958.421000 S     0x370 [8] 4c69746869756d00
140958.421000 S     0x371 [8] 56616c6c65790000
140958.421000 S     0x373 [8] d70cd80c24012401
140958.437000 S     0x374 [8] 0100030001000100
140958.437000 S     0x375 [8] 0300000000000000
140958.437000 S     0x376 [8] 0100000000000000
140958.453000 S     0x377 [8] 0100000000000000
140958.453000 S     0x379 [8] 3600000000000000
140959.406000 S     0x351 [8] 4002dc05d007c001
140959.406000 S     0x355 [8] 3600640072150000
140959.406000 S     0x356 [8] 8c140000be000000
140959.421000 S     0x35A [8] 0000000000000000
140959.421000 S     0x35E [8] 4c56616969657900
140959.421000 S     0x35F [8] 0000010136000000
140959.421000 S     0x370 [8] 4c69746869756d00
140959.421000 S     0x371 [8] 56616c6c65790000
140959.421000 S     0x373 [8] d70cd80c24012401
140959.437000 S     0x374 [8] 0100020001000100
140959.437000 S     0x375 [8] 0200000000000000
140959.437000 S     0x376 [8] 0100000000000000
140959.437000 S     0x377 [8] 0100000000000000
140959.453000 S     0x379 [8] 3600000000000000
140960.390000 S     0x351 [8] 4002dc05d007c001
140960.390000 S     0x355 [8] 3600640072150000
140960.390000 S     0x356 [8] 8c140000be000000
140960.406000 S     0x35A [8] 0000000000000000
140960.406000 S     0x35E [8] 4c56616969657900
140960.406000 S     0x35F [8] 0000010136000000
140960.421000 S     0x370 [8] 4c69746869756d00
140960.421000 S     0x371 [8] 56616c6c65790000
140960.421000 S     0x373 [8] d70cd80c24012401
140960.421000 S     0x374 [8] 0100020001000100
140960.421000 S     0x375 [8] 0200000000000000
140960.421000 S     0x376 [8] 0100000000000000
140960.453000 S     0x377 [8] 0100000000000000
140960.453000 S     0x379 [8] 3600000000000000
140961.390000 S     0x351 [8] 4002dc05d007c001
140961.390000 S     0x355 [8] 3600640072150000
140961.390000 S     0x356 [8] 8c140000be000000
140961.390000 S     0x35A [8] 0000000000000000
140961.390000 S     0x35E [8] 4c56616969657900
140961.406000 S     0x35F [8] 0000010136000000
140961.406000 S     0x370 [8] 4c69746869756d00
140961.406000 S     0x371 [8] 56616c6c65790000
140961.406000 S     0x373 [8] d70cd80c24012401
140961.421000 S     0x374 [8] 0100030001000100
140961.421000 S     0x375 [8] 0300000000000000
140961.421000 S     0x376 [8] 0100000000000000
140961.421000 S     0x377 [8] 0100000000000000
140961.421000 S     0x379 [8] 3600000000000000
