BESTGO probe @ 500000 bps  fclk_can=170000000
Captured 148 frames over ~10s in NORMAL mode

136936.328000 S     0x370 [8] 4c69746869756d00
136936.328000 S     0x371 [8] 56616c6c65790000
136936.328000 S     0x373 [8] d40cd60c24012401
136936.328000 S     0x374 [8] 0100030001000100
136936.328000 S     0x375 [8] 0300000000000000
136936.328000 S     0x376 [8] 0100000000000000
136936.328000 S     0x377 [8] 0100000000000000
136936.328000 S     0x379 [8] 3600000000000000
136936.921000 S     0x351 [8] 4002dc05d007c001
136936.921000 S     0x355 [8] 3600640072150000
136936.921000 S     0x356 [8] 82140000be000000
136936.921000 S     0x35A [8] 0000000000000000
136936.921000 S     0x35E [8] 4c56616969657900
136936.921000 S     0x35F [8] 0000010136000000
136936.937000 S     0x370 [8] 4c69746869756d00
136936.937000 S     0x371 [8] 56616c6c65790000
136936.937000 S     0x373 [8] d50cd60c24012401
136936.953000 S     0x374 [8] 0100020001000100
136936.953000 S     0x375 [8] 0200000000000000
136936.953000 S     0x376 [8] 0100000000000000
136936.953000 S     0x377 [8] 0100000000000000
136936.953000 S     0x379 [8] 3600000000000000
136937.921000 S     0x351 [8] 4002dc05d007c001
136937.921000 S     0x355 [8] 3600640072150000
136937.921000 S     0x356 [8] 82140000be000000
136937.921000 S     0x35A [8] 0000000000000000
136937.921000 S     0x35E [8] 4c56616969657900
136937.921000 S     0x35F [8] 0000010136000000
136937.937000 S     0x370 [8] 4c69746869756d00
136937.937000 S     0x371 [8] 56616c6c65790000
136937.937000 S     0x373 [8] d50cd60c24012401
136937.953000 S     0x374 [8] 0100020001000100
136937.953000 S     0x375 [8] 0200000000000000
136937.953000 S     0x376 [8] 0100000000000000
136937.953000 S     0x377 [8] 0100000000000000
136937.953000 S     0x379 [8] 3600000000000000
136938.906000 S     0x351 [8] 4002dc05d007c001
136938.906000 S     0x355 [8] 3600640072150000
136938.906000 S     0x356 [8] 82140000be000000
136938.921000 S     0x35A [8] 0000000000000000
136938.921000 S     0x35E [8] 4c56616969657900
136938.921000 S     0x35F [8] 0000010136000000
136938.921000 S     0x370 [8] 4c69746869756d00
136938.921000 S     0x371 [8] 56616c6c65790000
136938.921000 S     0x373 [8] d50cd60c24012401
136938.937000 S     0x374 [8] 0100040001000100
136938.937000 S     0x375 [8] 0400000000000000
136938.937000 S     0x376 [8] 0100000000000000
136938.953000 S     0x377 [8] 0100000000000000
136938.953000 S     0x379 [8] 3600000000000000
136939.921000 S     0x351 [8] 4002dc05d007c001
136939.921000 S     0x355 [8] 3600640072150000
136939.921000 S     0x356 [8] 82140000be000000
136939.921000 S     0x35A [8] 0000000000000000
136939.921000 S     0x35E [8] 4c56616969657900
136939.921000 S     0x35F [8] 0000010136000000
136939.937000 S     0x370 [8] 4c69746869756d00
136939.937000 S     0x371 [8] 56616c6c65790000
136939.937000 S     0x373 [8] d50cd60c24012401
136939.953000 S     0x374 [8] 0100020001000100
136939.953000 S     0x375 [8] 0200000000000000
136939.953000 S     0x376 [8] 0100000000000000
136939.953000 S     0x377 [8] 0100000000000000
136939.953000 S     0x379 [8] 3600000000000000
136940.906000 S     0x351 [8] 4002dc05d007c001
136940.906000 S     0x355 [8] 3600640072150000
136940.906000 S     0x356 [8] 82140000be000000
136940.921000 S     0x35A [8] 0000000000000000
136940.921000 S     0x35E [8] 4c56616969657900
136940.921000 S     0x35F [8] 0000010136000000
136940.921000 S     0x370 [8] 4c69746869756d00
136940.921000 S     0x371 [8] 56616c6c65790000
136940.921000 S     0x373 [8] d50cd60c24012401
136940.937000 S     0x374 [8] 0100020001000100
136940.937000 S     0x375 [8] 0200000000000000
136940.937000 S     0x376 [8] 0100000000000000
136940.953000 S     0x377 [8] 0100000000000000
136940.953000 S     0x379 [8] 3600000000000000
136941.921000 S     0x351 [8] 4002dc05d007c001
136941.921000 S     0x355 [8] 3600640072150000
136941.921000 S     0x356 [8] 82140000be000000
136941.921000 S     0x35A [8] 0000000000000000
136941.921000 S     0x35E [8] 4c56616969657900
136941.921000 S     0x35F [8] 0000010136000000
136941.937000 S     0x370 [8] 4c69746869756d00
136941.937000 S     0x371 [8] 56616c6c65790000
136941.937000 S     0x373 [8] d50cd60c24012401
136941.953000 S     0x374 [8] 0100020001000100
136941.953000 S     0x375 [8] 0200000000000000
136941.953000 S     0x376 [8] 0100000000000000
136941.953000 S     0x377 [8] 0100000000000000
136941.953000 S     0x379 [8] 3600000000000000
136942.921000 S     0x351 [8] 4002dc05d007c001
136942.921000 S     0x355 [8] 3600640072150000
136942.921000 S     0x356 [8] 82140000be000000
136942.921000 S     0x35A [8] 0000000000000000
136942.921000 S     0x35E [8] 4c56616969657900
136942.921000 S     0x35F [8] 0000010136000000
136942.937000 S     0x370 [8] 4c69746869756d00
136942.937000 S     0x371 [8] 56616c6c65790000
136942.937000 S     0x373 [8] d40cd60c24012401
136942.953000 S     0x374 [8] 1000070001000100
136942.953000 S     0x375 [8] 0700000000000000
136942.953000 S     0x376 [8] 0100000000000000
136942.953000 S     0x377 [8] 0100000000000000
136942.953000 S     0x379 [8] 3600000000000000
136943.921000 S     0x351 [8] 4002dc05d007c001
136943.921000 S     0x355 [8] 3600640072150000
136943.921000 S     0x356 [8] 82140000be000000
136943.921000 S     0x35A [8] 0000000000000000
136943.921000 S     0x35E [8] 4c56616969657900
136943.921000 S     0x35F [8] 0000010136000000
136943.937000 S     0x370 [8] 4c69746869756d00
136943.937000 S     0x371 [8] 56616c6c65790000
136943.937000 S     0x373 [8] d50cd60c24012401
136943.953000 S     0x374 [8] 0100040001000100
136943.953000 S     0x375 [8] 0400000000000000
136943.953000 S     0x376 [8] 0100000000000000
136943.953000 S     0x377 [8] 0100000000000000
136943.953000 S     0x379 [8] 3600000000000000
136944.921000 S     0x351 [8] 4002dc05d007c001
136944.921000 S     0x355 [8] 3600640072150000
136944.921000 S     0x356 [8] 82140000be000000
136944.921000 S     0x35A [8] 0000000000000000
136944.921000 S     0x35E [8] 4c56616969657900
136944.921000 S     0x35F [8] 0000010136000000
136944.937000 S     0x370 [8] 4c69746869756d00
136944.937000 S     0x371 [8] 56616c6c65790000
136944.937000 S     0x373 [8] d50cd60c24012401
136944.953000 S     0x374 [8] 0100020001000100
136944.953000 S     0x375 [8] 0200000000000000
136944.953000 S     0x376 [8] 0100000000000000
136944.953000 S     0x377 [8] 0100000000000000
136944.953000 S     0x379 [8] 3600000000000000
136945.921000 S     0x351 [8] 4002dc05d007c001
136945.921000 S     0x355 [8] 3600640072150000
136945.921000 S     0x356 [8] 82140000be000000
136945.921000 S     0x35A [8] 0000000000000000
136945.921000 S     0x35E [8] 4c56616969657900
136945.921000 S     0x35F [8] 0000010136000000
136945.937000 S     0x370 [8] 4c69746869756d00
136945.937000 S     0x371 [8] 56616c6c65790000
136945.937000 S     0x373 [8] d50cd60c24012401
136945.953000 S     0x374 [8] 0100020001000100
136945.953000 S     0x375 [8] 0200000000000000
136945.953000 S     0x376 [8] 0100000000000000
136945.953000 S     0x377 [8] 0100000000000000
136945.953000 S     0x379 [8] 3600000000000000
