BESTGO probe @ 500000 bps  fclk_can=170000000
Captured 145 frames over ~10s in NORMAL mode

136474.437000 S     0x374 [8] 0100040001000100
136474.437000 S     0x375 [8] 0400000000000000
136474.437000 S     0x376 [8] 0100000000000000
136474.453000 S     0x377 [8] 0100000000000000
136474.453000 S     0x379 [8] 3600000000000000
136474.921000 S     0x351 [8] 4002dc05d007c001
136474.921000 S     0x355 [8] 3600640072150000
136474.921000 S     0x356 [8] 82140000be000000
136474.921000 S     0x35A [8] 0000000000000000
136474.921000 S     0x35E [8] 4c56616969657900
136474.921000 S     0x35F [8] 0000010136000000
136474.937000 S     0x370 [8] 4c69746869756d00
136474.937000 S     0x371 [8] 56616c6c65790000
136474.937000 S     0x373 [8] d40cd60c24012401
136474.953000 S     0x374 [8] 1000040001000100
136474.953000 S     0x375 [8] 0400000000000000
136474.953000 S     0x376 [8] 0100000000000000
136474.953000 S     0x377 [8] 0100000000000000
136474.953000 S     0x379 [8] 3600000000000000
136475.906000 S     0x351 [8] 4002dc05d007c001
136475.906000 S     0x355 [8] 3600640072150000
136475.906000 S     0x356 [8] 82140000be000000
136475.921000 S     0x35A [8] 0000000000000000
136475.921000 S     0x35E [8] 4c56616969657900
136475.921000 S     0x35F [8] 0000010136000000
136475.921000 S     0x370 [8] 4c69746869756d00
136475.921000 S     0x371 [8] 56616c6c65790000
136475.921000 S     0x373 [8] d50cd60c24012401
136475.937000 S     0x374 [8] 0100070001000100
136475.937000 S     0x375 [8] 0700000000000000
136475.937000 S     0x376 [8] 0100000000000000
136475.953000 S     0x377 [8] 0100000000000000
136475.953000 S     0x379 [8] 3600000000000000
136476.921000 S     0x351 [8] 4002dc05d007c001
136476.921000 S     0x355 [8] 3600640072150000
136476.921000 S     0x356 [8] 82140000be000000
136476.921000 S     0x35A [8] 0000000000000000
136476.921000 S     0x35E [8] 4c56616969657900
136476.921000 S     0x35F [8] 0000010136000000
136476.937000 S     0x370 [8] 4c69746869756d00
136476.937000 S     0x371 [8] 56616c6c65790000
136476.937000 S     0x373 [8] d40cd60c24012401
136476.953000 S     0x374 [8] 0100030001000100
136476.953000 S     0x375 [8] 0300000000000000
136476.953000 S     0x376 [8] 0100000000000000
136476.953000 S     0x377 [8] 0100000000000000
136476.953000 S     0x379 [8] 3600000000000000
136477.921000 S     0x351 [8] 4002dc05d007c001
136477.921000 S     0x355 [8] 3600640072150000
136477.921000 S     0x356 [8] 82140000be000000
136477.921000 S     0x35A [8] 0000000000000000
136477.921000 S     0x35E [8] 4c56616969657900
136477.921000 S     0x35F [8] 0000010136000000
136477.937000 S     0x370 [8] 4c69746869756d00
136477.937000 S     0x371 [8] 56616c6c65790000
136477.937000 S     0x373 [8] d50cd60c24012401
136477.953000 S     0x374 [8] 0100060001000100
136477.953000 S     0x375 [8] 0600000000000000
136477.953000 S     0x376 [8] 0100000000000000
136477.953000 S     0x377 [8] 0100000000000000
136477.953000 S     0x379 [8] 3600000000000000
136478.921000 S     0x351 [8] 4002dc05d007c001
136478.921000 S     0x355 [8] 3600640072150000
136478.921000 S     0x356 [8] 82140000be000000
136478.921000 S     0x35A [8] 0000000000000000
136478.921000 S     0x35E [8] 4c56616969657900
136478.921000 S     0x35F [8] 0000010136000000
136478.937000 S     0x370 [8] 4c69746869756d00
136478.937000 S     0x371 [8] 56616c6c65790000
136478.937000 S     0x373 [8] d40cd60c24012401
136478.953000 S     0x374 [8] 0100070001000100
136478.953000 S     0x375 [8] 0700000000000000
136478.953000 S     0x376 [8] 0100000000000000
136478.953000 S     0x377 [8] 0100000000000000
136478.953000 S     0x379 [8] 3600000000000000
136479.921000 S     0x351 [8] 4002dc05d007c001
136479.921000 S     0x355 [8] 3600640072150000
136479.921000 S     0x356 [8] 82140000be000000
136479.921000 S     0x35A [8] 0000000000000000
136479.921000 S     0x35E [8] 4c56616969657900
136479.921000 S     0x35F [8] 0000010136000000
136479.937000 S     0x370 [8] 4c69746869756d00
136479.937000 S     0x371 [8] 56616c6c65790000
136479.937000 S     0x373 [8] d40cd60c24012401
136479.953000 S     0x374 [8] 1000080001000100
136479.953000 S     0x375 [8] 0800000000000000
136479.953000 S     0x376 [8] 0100000000000000
136479.953000 S     0x377 [8] 0100000000000000
136479.953000 S     0x379 [8] 3600000000000000
136480.921000 S     0x351 [8] 4002dc05d007c001
136480.921000 S     0x355 [8] 3600640072150000
136480.921000 S     0x356 [8] 82140000be000000
136480.921000 S     0x35A [8] 0000000000000000
136480.921000 S     0x35E [8] 4c56616969657900
136480.921000 S     0x35F [8] 0000010136000000
136480.937000 S     0x370 [8] 4c69746869756d00
136480.937000 S     0x371 [8] 56616c6c65790000
136480.937000 S     0x373 [8] d40cd60c24012401
136480.953000 S     0x374 [8] 0100040001000100
136480.953000 S     0x375 [8] 0400000000000000
136480.953000 S     0x376 [8] 0100000000000000
136480.953000 S     0x377 [8] 0100000000000000
136480.953000 S     0x379 [8] 3600000000000000
136481.921000 S     0x351 [8] 4002dc05d007c001
136481.921000 S     0x355 [8] 3600640072150000
136481.921000 S     0x356 [8] 82140000be000000
136481.921000 S     0x35A [8] 0000000000000000
136481.921000 S     0x35E [8] 4c56616969657900
136481.921000 S     0x35F [8] 0000010136000000
136481.937000 S     0x370 [8] 4c69746869756d00
136481.937000 S     0x371 [8] 56616c6c65790000
136481.937000 S     0x373 [8] d50cd60c24012401
136481.953000 S     0x374 [8] 0100060001000100
136481.953000 S     0x375 [8] 0600000000000000
136481.953000 S     0x376 [8] 0100000000000000
136481.953000 S     0x377 [8] 0100000000000000
136481.953000 S     0x379 [8] 3600000000000000
136482.921000 S     0x351 [8] 4002dc05d007c001
136482.921000 S     0x355 [8] 3600640072150000
136482.921000 S     0x356 [8] 82140000be000000
136482.921000 S     0x35A [8] 0000000000000000
136482.921000 S     0x35E [8] 4c56616969657900
136482.921000 S     0x35F [8] 0000010136000000
136482.937000 S     0x370 [8] 4c69746869756d00
136482.937000 S     0x371 [8] 56616c6c65790000
136482.937000 S     0x373 [8] d50cd60c24012401
136482.953000 S     0x374 [8] 0100070001000100
136482.953000 S     0x375 [8] 0700000000000000
136482.953000 S     0x376 [8] 0100000000000000
136482.953000 S     0x377 [8] 0100000000000000
136482.953000 S     0x379 [8] 3600000000000000
136483.921000 S     0x351 [8] 4002dc05d007c001
136483.921000 S     0x355 [8] 3600640072150000
136483.921000 S     0x356 [8] 82140000be000000
136483.921000 S     0x35A [8] 0000000000000000
136483.921000 S     0x35E [8] 4c56616969657900
136483.921000 S     0x35F [8] 0000010136000000
136483.937000 S     0x370 [8] 4c69746869756d00
136483.937000 S     0x371 [8] 56616c6c65790000
136483.937000 S     0x373 [8] d40cd60c24012401
136483.953000 S     0x374 [8] 1000070001000100
136483.953000 S     0x375 [8] 0700000000000000
136483.953000 S     0x376 [8] 0100000000000000
136483.953000 S     0x377 [8] 0100000000000000
136483.953000 S     0x379 [8] 3600000000000000
