BESTGO probe @ 500000 bps  fclk_can=170000000
Captured 142 frames over ~10s in NORMAL mode

1225568.671000 S     0x377 [8] 0100000000000000
1225568.671000 S     0x379 [8] 3800000000000000
1225568.953000 S     0x351 [8] 4002dc05d007c001
1225568.953000 S     0x355 [8] 38006400e0150000
1225568.953000 S     0x356 [8] 96140000d2000000
1225568.968000 S     0x35A [8] 0000000000000000
1225568.968000 S     0x35E [8] 4c56616969657900
1225568.968000 S     0x35F [8] 0000010138000000
1225568.968000 S     0x370 [8] 4c69746869756d00
1225568.984000 S     0x371 [8] 56616c6c65790000
1225568.984000 S     0x373 [8] de0cdf0c26012601
1225568.984000 S     0x374 [8] 0100040001000100
1225568.984000 S     0x375 [8] 0400000000000000
1225568.984000 S     0x376 [8] 0100000000000000
1225569.000000 S     0x377 [8] 0100000000000000
1225569.000000 S     0x379 [8] 3800000000000000
1225569.953000 S     0x351 [8] 4002dc05d007c001
1225569.953000 S     0x355 [8] 38006400e0150000
1225569.953000 S     0x356 [8] 96140000d2000000
1225569.968000 S     0x35A [8] 0000000000000000
1225569.968000 S     0x35E [8] 4c56616969657900
1225569.968000 S     0x35F [8] 0000010138000000
1225569.968000 S     0x370 [8] 4c69746869756d00
1225569.968000 S     0x371 [8] 56616c6c65790000
1225569.968000 S     0x373 [8] de0cdf0c26012601
1225569.984000 S     0x374 [8] 0100040001000100
1225569.984000 S     0x375 [8] 0400000000000000
1225569.984000 S     0x376 [8] 0100000000000000
1225570.000000 S     0x377 [8] 0100000000000000
1225570.000000 S     0x379 [8] 3800000000000000
1225570.953000 S     0x351 [8] 4002dc05d007c001
1225570.953000 S     0x355 [8] 38006400e0150000
1225570.953000 S     0x356 [8] 96140000d2000000
1225570.968000 S     0x35A [8] 0000000000000000
1225570.968000 S     0x35E [8] 4c56616969657900
1225570.968000 S     0x35F [8] 0000010138000000
1225570.968000 S     0x370 [8] 4c69746869756d00
1225570.968000 S     0x371 [8] 56616c6c65790000
1225570.968000 S     0x373 [8] dd0cdf0c26012601
1225570.984000 S     0x374 [8] 0100040001000100
1225570.984000 S     0x375 [8] 0400000000000000
1225570.984000 S     0x376 [8] 0100000000000000
1225571.000000 S     0x377 [8] 0100000000000000
1225571.000000 S     0x379 [8] 3800000000000000
1225571.953000 S     0x351 [8] 4002dc05d007c001
1225571.953000 S     0x355 [8] 38006400e0150000
1225571.953000 S     0x356 [8] 96140000d2000000
1225571.968000 S     0x35A [8] 0000000000000000
1225571.968000 S     0x35E [8] 4c56616969657900
1225571.968000 S     0x35F [8] 0000010138000000
1225571.968000 S     0x370 [8] 4c69746869756d00
1225571.984000 S     0x371 [8] 56616c6c65790000
1225571.984000 S     0x373 [8] de0cdf0c26012601
1225571.984000 S     0x374 [8] 0100040001000100
1225571.984000 S     0x375 [8] 0400000000000000
1225571.984000 S     0x376 [8] 0100000000000000
1225572.000000 S     0x377 [8] 0100000000000000
1225572.000000 S     0x379 [8] 3800000000000000
1225572.953000 S     0x351 [8] 4002dc05d007c001
1225572.953000 S     0x355 [8] 38006400e0150000
1225572.953000 S     0x356 [8] 96140000d2000000
1225572.968000 S     0x35A [8] 0000000000000000
1225572.968000 S     0x35E [8] 4c56616969657900
1225572.968000 S     0x35F [8] 0000010138000000
1225572.968000 S     0x370 [8] 4c69746869756d00
1225572.984000 S     0x371 [8] 56616c6c65790000
1225572.984000 S     0x373 [8] de0cdf0c26012601
1225572.984000 S     0x374 [8] 0100020001000100
1225572.984000 S     0x375 [8] 0200000000000000
1225572.984000 S     0x376 [8] 0100000000000000
1225573.000000 S     0x377 [8] 0100000000000000
1225573.000000 S     0x379 [8] 3800000000000000
1225573.953000 S     0x351 [8] 4002dc05d007c001
1225573.953000 S     0x355 [8] 38006400e0150000
1225573.953000 S     0x356 [8] 96140000d2000000
1225573.968000 S     0x35A [8] 0000000000000000
1225573.968000 S     0x35E [8] 4c56616969657900
1225573.968000 S     0x35F [8] 0000010138000000
1225573.968000 S     0x370 [8] 4c69746869756d00
1225573.984000 S     0x371 [8] 56616c6c65790000
1225573.984000 S     0x373 [8] de0cdf0c26012601
1225573.984000 S     0x374 [8] 0100040001000100
1225573.984000 S     0x375 [8] 0400000000000000
1225573.984000 S     0x376 [8] 0100000000000000
1225574.000000 S     0x377 [8] 0100000000000000
1225574.000000 S     0x379 [8] 3800000000000000
1225574.953000 S     0x351 [8] 4002dc05d007c001
1225574.953000 S     0x355 [8] 38006400e0150000
1225574.953000 S     0x356 [8] 96140000d2000000
1225574.968000 S     0x35A [8] 0000000000000000
1225574.968000 S     0x35E [8] 4c56616969657900
1225574.968000 S     0x35F [8] 0000010138000000
1225574.968000 S     0x370 [8] 4c69746869756d00
1225574.968000 S     0x371 [8] 56616c6c65790000
1225574.984000 S     0x373 [8] dd0cdf0c26012601
1225574.984000 S     0x374 [8] 0100030001000100
1225574.984000 S     0x375 [8] 0300000000000000
1225574.984000 S     0x376 [8] 0100000000000000
1225575.000000 S     0x377 [8] 0100000000000000
1225575.000000 S     0x379 [8] 3800000000000000
1225575.953000 S     0x351 [8] 4002dc05d007c001
1225575.953000 S     0x355 [8] 38006400e0150000
1225575.953000 S     0x356 [8] 96140000d2000000
1225575.968000 S     0x35A [8] 0000000000000000
1225575.968000 S     0x35E [8] 4c56616969657900
1225575.968000 S     0x35F [8] 0000010138000000
1225575.968000 S     0x370 [8] 4c69746869756d00
1225575.968000 S     0x371 [8] 56616c6c65790000
1225575.984000 S     0x373 [8] de0cdf0c26012601
1225575.984000 S     0x374 [8] 0100020001000100
1225575.984000 S     0x375 [8] 0200000000000000
1225575.984000 S     0x376 [8] 0100000000000000
1225576.000000 S     0x377 [8] 0100000000000000
1225576.000000 S     0x379 [8] 3800000000000000
1225576.953000 S     0x351 [8] 4002dc05d007c001
1225576.953000 S     0x355 [8] 38006400e0150000
1225576.953000 S     0x356 [8] 96140000d2000000
1225576.968000 S     0x35A [8] 0000000000000000
1225576.968000 S     0x35E [8] 4c56616969657900
1225576.968000 S     0x35F [8] 0000010138000000
1225576.968000 S     0x370 [8] 4c69746869756d00
1225576.984000 S     0x371 [8] 56616c6c65790000
1225576.984000 S     0x373 [8] de0cdf0c26012601
1225576.984000 S     0x374 [8] 0100020001000100
1225576.984000 S     0x375 [8] 0200000000000000
1225576.984000 S     0x376 [8] 0100000000000000
1225577.000000 S     0x377 [8] 0100000000000000
1225577.000000 S     0x379 [8] 3800000000000000
1225577.953000 S     0x351 [8] 4002dc05d007c001
1225577.953000 S     0x355 [8] 38006400e0150000
1225577.953000 S     0x356 [8] 96140000d2000000
1225577.968000 S     0x35A [8] 0000000000000000
1225577.968000 S     0x35E [8] 4c56616969657900
1225577.968000 S     0x35F [8] 0000010138000000
1225577.968000 S     0x370 [8] 4c69746869756d00
1225577.968000 S     0x371 [8] 56616c6c65790000
1225577.984000 S     0x373 [8] dd0cdf0c26012601
1225577.984000 S     0x374 [8] 0100040001000100
1225577.984000 S     0x375 [8] 0400000000000000
1225577.984000 S     0x376 [8] 0100000000000000
1225578.000000 S     0x377 [8] 0100000000000000
1225578.000000 S     0x379 [8] 3800000000000000
