BESTGO probe @ 500000 bps  fclk_can=170000000
Captured 151 frames over ~10s in NORMAL mode

216455.140000 S     0x373 [8] e90cea0c27012801
216455.140000 S     0x374 [8] 0100080001000200
216455.156000 S     0x375 [8] 0800000000000000
216455.156000 S     0x376 [8] 0100000000000000
216455.156000 S     0x377 [8] 0200000000000000
216455.171000 S     0x379 [8] 3800000000000000
216456.109000 S     0x351 [8] 4002dc05d007c001
216456.125000 S     0x355 [8] 38006400e0150000
216456.125000 S     0x356 [8] a0140000dc000000
216456.125000 S     0x35A [8] 0000000000000000
216456.125000 S     0x35E [8] 4c56616969657900
216456.125000 S     0x35F [8] 0000010138000000
216456.125000 S     0x370 [8] 4c69746869756d00
216456.140000 S     0x371 [8] 56616c6c65790000
216456.140000 S     0x373 [8] e80cea0c27012801
216456.140000 S     0x374 [8] 0100060001000200
216456.140000 S     0x375 [8] 0600000000000000
216456.140000 S     0x376 [8] 0100000000000000
216456.140000 S     0x377 [8] 0200000000000000
216456.156000 S     0x379 [8] 3800000000000000
